Alberta Conference SDA Church,5816 Hwy 2A,Lacombe,T4L 2G5
Alberta Health Services,48 Quarry Park Blvd. SE,Calgary,T2C 5P2
Alberta Innovates,"1500, 10104 - 103 Avenue",Edmonton,T5J 0H8
Alberta University of the Arts,1407 - 14th Avenue NW,Calgary,T2N 4R3
Aspen View School Division,3600 - 48 Avenue,Athabasca,T9S 1M8
Athabasca University,1 University Drive,Athabasca,T9S 3A3
Banff Centre for Arts and Creativity,PO Box 1020,Banff,T1L 1H5
Battle River School Division,5402 - 48A Avenue,Camrose,T4V 0L3
Black Gold Regional Division No.18,"3rd floor, 1101 - 5 Street",Nisku,T9E 7N3
Blue Mountain Power Co-op,PO Box 1538,Rocky Mountain House,T4T 1B2
Bow Valley College,345 - 6 Avenue SE,Calgary,T2G 4V1
Buffalo Trail Public Schools,1041 - 10A Street,Wainwright,T9W 2R4
Burman University ,6730 University Drive,Lacombe,T4L 2E5
Calgary Board of Education,1221 - 8 Street SW,Calgary,T2R 0L4
Calgary Catholic School District,1000 - 5 Avenue SW,Calgary,T2P 4T9
Calgary Classical Academy,231 - 6 Street NE,Calgary,T2E 3Y1
Calgary Girls' School,"Unit C, 7239 Flint Road SE",Calgary,T2H 1G2
Canadian Rockies School District No.12,618 - 7 Avenue,Canmore,T1W 2H5
Chinook's Edge School Division No.73,4904 - 50 Street,Innisfail,T4G 1W4
City of Calgary,"Box 2100, Station M",Calgary,T2P 2M5
City of Edmonton,"16th flr, Edmonton Tower, 10111-104 Street NW",Edmonton,T5J 0J4
City of Lethbridge,910 - 4th Avenue South,Lethbridge,T1J 0P6
City of Red Deer,PO Box 5008,Red Deer,T4N 3T4
Clearview Public Schools,5031 - 50 Street,Stettler,T0C 2L0
Concordia University of Edmonton,7128 Ada Boulevard,Edmonton,T5B 4E4
Conseil scolaire Centre-Nord,322 - 8627 rue Marie-Anne-Gaboury,Edmonton,T6C 3N1
Conseil scolaire FrancoSud,"Suite 295, 6715 - 8 Street NE",Calgary,T2E 7H7
East Central Alberta Catholic Schools,1018 - 1 Avenue,Wainwright,T9W 1G9
Edge School for Athletes,33055 Township Road 250,Calgary,T3Z 1L4
Edmonton Public Library,7 Sir Winston Churchill Square,Edmonton,T5J 2V4
ENFOCOM International Corporation,"144 - 4 Avenue SW, Suite 1600",Calgary,T2P 3N4
Evergreen Catholic Regional Division No.2,"Suite 110, 381 Grove Drive West",Spruce Grove,T7X 2Y9
Foothills School Division,"Suite 300, 29 - 4th Avenue SW",High River,T1V 1M7
Fort McMurray Public School District,231 Hardin Street,Fort McMurray,T9H 2G2
Fort Vermilion School District No.52,"Bag 1, 5213 River Road",Fort Vermilion,T0H 1N0
Foundations for the Future Charter Academy,"110, 7000 Railway Street SE",Calgary,T2H 3A8
French National Centre for Space Studies (CNES),18 Avenue Edouard Belin,"Toulouse, France",31401
Genome Alberta,"200, 3512 - 33 Street NW",Calgary,T2L 2A6
German Aerospace Center,"Linder Hohe, D-51147 Koln",Germany,D-51147
Glenmore Christian Academy,16520 - 24th Street SW,Calgary,T2Y 4W2
