ID,Site,Latitude,Longitude,City,PixelName,Pixel
74,Lethbridge College,49.66,-112.8,Lethbridge,Lethbridge,0
105,University of Lethbridge,49.67,-112.86,Lethbridge,Lethbridge,0
25,Lethbridge City Hall,49.69,-112.83,Lethbridge,Lethbridge,0
47,City of Lethbridge,49.69,-112.83,Lethbridge,Lethbridge,0
75,Lethbridge School District No.51,49.69,-112.81,Lethbridge,Lethbridge,0
69,Holy Spirit Roman Catholic Separate School Division,49.71,-112.82,Lethbridge,Lethbridge,0
88,Palliser Regional Schools No.26,49.72,-112.78,Lethbridge,Lethbridge,0
141,Livingstone Range School Division,49.722108,-113.402219,Fort Macleod,Fort Macleod,1
113,Whipcord Ltd,49.73,-112.8,Lethbridge,Lethbridge,0
70,Horizon School Division No.67,49.8,-112.13,Taber,Lethbridge,0
96,Prairie Rose School Division No.8,49.96,-110.58,Dunmore,Medicine Hat,2
78,Medicine Hat College,50.01,-110.68,Medicine Hat,Medicine Hat,2
132,Medicine Hat Catholic School District,50.027,-110.689,Medicine Hat,Medicine Hat,2
131,Medicine Hat School District No.76,50.1,-110.6,Medicine Hat,Medicine Hat,2
126,Grasslands Regional School Division No.6,50.56,-111.89,Brooks,Brooks,3
138,FootHills School District,50.579,-113.87,High River,High River,4
60,Glenmore Christian Academy,50.9,-114.11,Calgary,Calgary,5
145,St. Mary's University,50.9222,-114.0679,Calgary,Calgary,5
30,Alberta Health Services,50.96,-114.0,Calgary,Calgary,5
139,STEM Innovation Academy,50.968,-114.086,Calgary,Calgary,5
40,Calgary Girls' School,50.98,-114.06,Calgary,Calgary,5
58,Foundations for the Future Charter Academy,50.99,-114.04,Calgary,Calgary,5
52,Conseil scolaire FrancoSud,50.99,-114.06,Calgary,Calgary,5
130,Platform Calgary,51.0,-114.1,Calgary,Calgary,5
80,Mount Royal University,51.01,-114.13,Calgary,Calgary,5
122,Ambrose University,51.03,-114.19,Calgary,Calgary,5
36,Bow Valley College,51.04,-114.05,Calgary,Calgary,5
45,City of Calgary,51.04,-114.05,Calgary,Calgary,5
39,Calgary Catholic School District,51.04,-114.08,Calgary,Calgary,5
26,Calgary City Hall,51.05,-114.06,Calgary,Calgary,5
114,Alberta University of the Arts,51.05,-114.04,Calgary,Calgary,5
140,Calgary Classical Academy,51.054403,-114.048612,Calgary,Calgary,5
99,SAIT Polytechnic,51.06,-114.09,Calgary,Calgary,5
104,University of Calgary,51.07,-114.12,Calgary,Calgary,5
43,Canadian Rockies School District No. 12,51.08,-115.35,Canmore,Canmore,6
3,U of C Math Science Data Centre,51.08,-114.12,Calgary,Calgary,5
6,Cybera Calgary Office,51.08,-114.13,Calgary,Calgary,5
79,MindFuel,51.08,-114.13,Calgary,Calgary,5
41,Calgary Technologies Inc.,51.08,-114.3,Calgary,Calgary,5
59,Genome Alberta,51.08,-114.13,Calgary,Calgary,5
42,Canadian Energy Research Institute (CERI) - disabled,51.08,-114.13,Calgary,Calgary,5
54,Edge School for Athletes,51.09,-113.35,Calgary,Calgary,5
129,Alberta Innovates,51.09,-114.1,Calgary,Calgary,5
123,Calgary Board of Education,51.1,-114.1,Calgary,Calgary,5
101,Stoney Education Authority,51.16,-114.85,Morley,Canmore,6
33,Banff Centre for Arts and Creativity,51.17,-115.56,Banff,Canmore,6
95,Prairie Land School Division,51.63,-111.94,Hanna,Hanna,7
119,Prairie College,51.7,-113.2,Three Hills,Olds,8
144,Olds College,51.7908,-114.095,Olds,Olds,8
44,Chinook's Edge School Division,52.02,-113.94,Innisfail,Olds,8
112,Red Deer Polytechnic - Red Deer College,52.25,-113.82,Red Deer,Red Deer,9
23,Red Deer Emergency Services Head Quarters,52.25,-113.8,Red Deer,Red Deer,9
48,City of Red Deer,52.26,-113.8,Red Deer,Red Deer,9
98,Red Deer Public Library,52.26,-113.81,Red Deer,Red Deer,9
97,Red Deer Catholic Division No.39,52.28,-113.81,Red Deer,Red Deer,9
128,Red Deer Public Schools,52.3,-113.8,Red Deer,Red Deer,9
49,Clearview Public Schools,52.32,-112.7,Stettler,Stettler,10
35,Blue Mountain Power Co-op,52.37,-114.9,Rocky Mountain House,Rocky Mountain House,11
107,Wild Rose School Division No.66,52.374,-114.9,Rocky Mountain House,Rocky Mountain House,11
108,Wolf Creek Regional Division No.32,52.38,-113.58,Ponoka,Lacombe,12
29,Alberta Conference SDA Church,52.47,-113.71,Lacombe,Lacombe,12
38,Burman University,52.48,-113.73,Lacombe,Lacombe,12
53,East Central Alberta Catholic Schools,52.83,-110.86,Wainwright,Wainwright,13
37,Buffalo Trail Public Schools,52.84,-110.85,Wainwright,Wainwright,13
106,Wetaskiwin Regional Public Schools,52.96,-113.38,Wetaskiwin,Camrose,14
