ID,Site,Latitude,Longitude,City
29,Alberta Conference SDA Church,52.47,-113.71,Lacombe
30,Alberta Health Services,50.96,-114,Calgary
129,Alberta Innovates,51.09,-114.1,Calgary
114,Alberta University of the Arts,51.05,-114.04,Calgary
122,Ambrose University,51.03,-114.19,Calgary
118,Amii,53.5,-113.5,Edmonton
31,Aspen View Public Schools Division,54.71,-113.25,Athabasca
32,Athabasca University,54.71,-113.3,Athabasca
33,Banff Centre for Arts and Creativity,51.17,-115.56,Banff
34,Battle River School Division,53.02,-112.83,Camrose
135,Bell MeetMe - Calgary,,,
134,Bell MeetMe - Edmonton,,,
117,Black Gold Regional Division No.18,53.2,-113.6,Nisku
35,Blue Mountain Power Co-op,52.37,-114.9,Rocky Mountain House
36,Bow Valley College,51.04,-114.05,Calgary
37,Buffalo Trail Public Schools,52.84,-110.85,Wainwright
38,Burman University,52.48,-113.73,Lacombe
123,Calgary Board of Education,51.1,-114.1,Calgary
39,Calgary Catholic School District,51.04,-114.08,Calgary
26,Calgary City Hall,51.05,-114.06,Calgary
140,Calgary Classical Academy,51.054403,-114.048612,Calgary
40,Calgary Girls' School,50.98,-114.06,Calgary
41,Calgary Technologies Inc.,51.08,-114.3,Calgary
42,Canadian Energy Research Institute (CERI) - disabled,51.08,-114.13,Calgary
43,Canadian Rockies School District No. 12,51.08,-115.35,Canmore
44,Chinook's Edge School Division,52.02,-113.94,Innisfail
45,City of Calgary,51.04,-114.05,Calgary
46,City of Edmonton,53.54,-113.49,Edmonton
47,City of Lethbridge,49.69,-112.83,Lethbridge
48,City of Red Deer,52.26,-113.8,Red Deer
49,Clearview Public Schools,52.32,-112.7,Stettler
50,Concordia University of Edmonton,53.56,-113.44,Edmonton
51,Conseil scolaire Centre-Nord,53.52,-113.46,Edmonton
52,Conseil scolaire FrancoSud,50.99,-114.06,Calgary
6,Cybera Calgary Office,51.08,-114.13,Calgary
22,Cybera Edmonton Office,53.54,-113.5,Edmonton
133,Datahive,,,
53,East Central Alberta Catholic Schools,52.83,-110.86,Wainwright
54,Edge School for Athletes,51.09,-113.35,Calgary
109,Edmonton Public Library,53.54,-113.48,Edmonton
120,Edmonton Public Schools,53.4,-113.5,Edmonton
137,Enfocom,,,
24,Enterprise Square,,,
55,Evergreen Catholic Regional Division,53.55,-113.88,Spruce Grove
138,FootHills School District,50.579,-113.87,High River
56,Fort McMurray Public School District,56.72,-111.37,Fort McMurray
57,Fort Vermilion School District,58.38,-116.02,Fort Vermilion
58,Foundations for the Future Charter Academy,50.99,-114.04,Calgary
110,French National Centre for Space Studies (CNES),,,
149,Frog Lake Education Authority (FLEA),53.957,-110.401,Frog Lake
59,Genome Alberta,51.08,-114.13,Calgary
111,German Aerospace Centre,,,
60,Glenmore Christian Academy,50.9,-114.11,Calgary
61,Grande Prairie Catholic School District,55.17,-118.79,Grande Prairie
62,Grande Prairie Public Library,55.17,-118.78,Grande Prairie
63,Grande Prairie Public School District No.2357,55.18,-118.8,Grande Prairie
64,Grande Prairie Regional College - Northwest Polytechnic,55.17,-118.81,Grande Prairie
65,Grande Yellowhead Public School Division,53.58,-116.4,Edson
126,Grasslands Regional School Division No.6,50.5,-111.7,Brooks
66,Greater St. Albert Catholic School Division No.734,53.63,-113.63,St. Albert
67,High Prairie School Division No.48,55.43,-116.46,High Prairie
68,Holy Family Catholic Regional Division No.37,56.22,-117.28,Peace River
69,Holy Spirit Roman Catholic Separate School Division,49.71,-112.82,Lethbridge
70,Horizon School Division No.67,49.8,-112.13,Taber
71,Kee Tas Kee Now Tribal Council Education Authority,56.52,-115.31,Red Earth Creek
115,Keyano College,56.6,-111.4,Fort McMurray
124,"King's University, The",53.6,-113.4,Edmonton
72,Lac La Biche County,54.76,-111.94,Lac la Biche
73,Lakeland College,53.34,-110.87,Vermilion
25,Lethbridge City Hall,49.69,-112.83,Lethbridge
74,Lethbridge College,49.66,-112.8,Lethbridge
75,Lethbridge School District No.51,49.69,-112.81,Lethbridge
76,Living Waters Catholic Regional Division No.42,54.13,-115.66,Whitecourt
141,Livingstone Range School Division,49.722108,-113.402219,Fort Macleod
77,MacEwan University,53.54,-113.5,Edmonton
132,Medicine Hat Catholic School District,50.027,-110.689,Medicine Hat
78,Medicine Hat College,50.01,-110.68,Medicine Hat
131,Medicine Hat School District No.76,50.1,-110.6,Medicine Hat
79,MindFuel,51.08,-114.13,Calgary
80,Mount Royal University,51.01,-114.13,Calgary
81,NAIT,53.57,-113.5,Edmonton
82,NorQuest College,53.54,-113.5,Edmonton
83,Northern Gateway Public Schools,54.13,-115.68,Whitecourt
84,Northern Lakes College,55.27,-114.77,Slave Lake
85,Northern Lights Library System,53.9,-110.89,Elk Point
86,Northern Lights School Division No.69,54.26,-110.76,Bonnyville
87,Northland School Division No.61,56.25,-117.29,Peace River
144,Olds College,51.7908,-114.095,Olds
127,OpenBSD Foundation,53.4,-113.4,Edmonton
88,Palliser Regional Schools No.26,49.72,-112.78,Lethbridge
89,Parkland School Division No.70,53.53,-114,Stony Plain
90,Peace Library System,55.15,-118.82,Grande Prairie
91,Peace River School Division No.10,56.18,-117.61,Grimshaw
92,Peace Wapiti School Division No.76,55.15,-118.81,Grande Prairie
93,Pembina Hills Public School,54.12,-114.4,Barrhead
116,Pinnguaq Association,,,
130,Platform Calgary,51,-114.1,Calgary
94,Portage College,54.76,-111.97,Lac La Biche
119,Prairie College,51.7,-113.2,Three Hills
95,Prairie Land School Division,51.63,-111.94,Hanna
96,Prairie Rose School Division No.8,49.96,-110.58,Dunmore
97,Red Deer Catholic Division No.39,52.28,-113.81,Red Deer
23,Red Deer Emergency Services Head Quarters,52.25,-113.8,Red Deer
112,Red Deer Polytechnic - Red Deer College,52.25,-113.82,Red Deer
98,Red Deer Public Library,52.26,-113.81,Red Deer
128,Red Deer Public Schools,52.3,-113.8,Red Deer
99,SAIT Polytechnic,51.06,-114.09,Calgary
139,STEM Innovation Academy,50.968,-114.086,Calgary
136,Shared Hardware Firewall,,,
125,St. Albert Public Schools,53.5,-113.6,Three Hills
145,St. Mary's University,50.9222,-114.0679,Calgary
100,St. Thomas Aquinas Roman Catholic Division No.38,53.26,-113.55,Leduc
101,Stoney Education Authority,51.16,-114.85,Morley
102,Sturgeon Public School Division No.24,53.79,-113.65,Morinville
142,SuperNet Calgary Meet-Me,,,
143,SuperNet Edmonton Meet-Me,,,
146,TekSavvy,,,
121,Town of Drayton Valley,53.2,-114.9,Drayton Valley
7,U of A Data Centre (GSB),53.52,-113.52,Edmonton
3,U of C Math Science Data Centre,51.08,-114.12,Calgary
103,University of Alberta,53.52,-113.52,Edmonton
104,University of Calgary,51.07,-114.12,Calgary
105,University of Lethbridge,49.67,-112.86,Lethbridge
27,Université de Sherbrooke,,,
1,Virtual - Cybera Main,,,
4,Virtual - Cybera Office,,,
5,Virtual - Rapid Access Cloud,,,
106,Wetaskiwin Regional Public Schools,52.96,-113.38,Wetaskiwin
113,Whipcord Ltd,49.73,-112.8,Lethbridge
107,Wild Rose School Division No.66,52.374,-114.9,Rocky Mountain House
108,Wolf Creek Regional Division No.32,52.38,-113.58,Ponoka
28,WolfPaw,,,
147,westgrid,,,
