Name,Latitude,Longitude
Lethbridge,49.67405714285714,-112.80325714285716
Medicine Hat,50.0816,-110.5788
Brooks,50.5834,-111.8851
High River,50.5834,-113.8687
Fort Macleod,50.6314,-114.4089
Hanna,50.9944,-111.4632
Calgary,51.04413684210527,-114.02375263157893
Canmore,51.0876,-115.3461
Innisfail,52.0269,-113.9507
Stettler,52.1431,-111.6941
Red Deer,52.2316,-113.83580000000002
Rocky Mountain House,52.3668,-114.9188
Lacombe,52.4668,-113.7353
Wainwright,52.839,-110.8572
Camrose,53.0168,-112.8353
Vermilion,53.3669,-110.8517
Spruce Grove,53.5334,-113.9187
Edson,53.5834,-116.4356
Barrhead,54.1334,-114.4021
Whitecourt,54.1501,-115.6855
Bonnyville,54.2668,-110.7351
Athabasca,54.7169,-113.2854
Lac La Biche,54.766,-111.7174
Grande Prairie,55.17238333333333,-118.89101666666666
High Prairie,55.6993,-114.4529
Peace River,56.2501,-117.286
Fort McMurray,56.664,-111.1357
Grimshaw,57.5403,-116.9153
